Tokens,Calls
0,9
10,869
20,5229
30,16089
40,36449
50,69309
60,117669
70,184529
80,272889
90,385749
100,526109
110,696969
120,901329
130,1142189
140,1422549
150,1745409
160,2113769
170,2530629
180,2998989
190,3521849
200,4102209
210,4743069
220,5447429
230,6218289
240,7058649
250,7971509
260,8959869
270,10026729
280,11175089
290,12407949
300,13728309
310,15139169
320,16643529
330,18244389
340,19944749
350,21747609
360,23655969
370,25672829
380,27801189
390,30044049
400,32404409
410,34885269
420,37489629
430,40220489
440,43080849
450,46073709
460,49202069
470,52468929
480,55877289
490,59430149
500,63130509
